omw-x-aat, omw
ubu, ubu
ubu-x-andale, ubu
ubu-x-kala, ubu
ubu-x-nopenge, ubu
umb, umb
due, due
unm, unm
kw-uccor, cor
pov, pov
tku, tku
hsb, hsb
urk, urk
ura, ura
ur, urd
ur-Latn, urd
urh, urh
wnu, wnu
usa, usa
cuc, cuc
usp, usp
ug, uig
ug-Arab, uig
ug-Latn, uig
uz, uzb
uz-Latn, uzb
vag, vag
vai, vai
vap, vap
ca-valencia, cat
ve, ven
vec, vec
bav, bav
vep, vep
omw-x-veq, omw
hus-x-veracruz, hus
vi, vie
vif, vif
vls, vls
rmy, rmy
wbm, wbm
vot, vot
vo, vol
vun, vun
vut, vut
vro, vro
wwa, wwa
waj, waj
wgi, wgi
rro, rro
bao, bao
wbl-Latn, wbl
wls, wls
wa, wln
wmt, wmt
wam, wam
mfi, mfi
wbt, wbt
wnc, wnc
auc, auc
wap, wap
war, war
wrs, wrs
wbp, wbp
wsk, wsk
way, way
guc, guc
wed, wed
cy, cym
wer, wer
nnd, nnd
qut, qut
kew, kew
abe, abe
apw, apw
are, are
gnw, gnw
mbb, mbb
dnj-x-west, dnj
pes-Latn, pes
ctp, ctp
pua, pua
nhw, nhw
ckw, ckw
kyu, kyu
fuh, fuh
pnb, pnb
lev, lev
pne, pne
pob, pob
tac, tac
tzt, tzt
mww, mww
wim, wim
gdr, gdr
wrh, wrh
wiu, wiu
wal, wal
wo, wol
noa, noa
wuu, wuu
wuv, wuv
udl, udl
wya, wya
wym, wym
wob, wob
kao, kao
xav, xav
xh, xho
hsn-Hant, hsn
hsn-Latn, hsn
hsn, hsn
too, too
ane, ane
jae, jae
yai, yai
yad, yad
yaf, yaf
sah, sah
yal, yal
zpu, zpu
yam, yam
yaa, yaa
ame, ame
guu, guu
wca, wca
jao, jao
yao, yao
yap, yap
yaq, yaq
yrb, yrb
zae, zae
zty, zty
zav, zav
yuw, yuw
yva, yva
yby, yby
yle, yle
ybb, ybb
cbm, cbm
yss, yss
yss-x-yamano, yss
yss-x-yawu, yss
yi, yid
yi-Latn, yid
pib, pib
byr-x-waga, byr
yre, yre
yol, yol
yon, yon
yut, yut
yo, yor
mpm, mpm
zyj, zyj
yua, yua
yuc, yuc
ycn, ycn
yue, yue
yue-Hans, yue
yub, yub
yuz, yuz
yur, yur
nhi, nhi
atb, atb
zne, zne
znd, znd
zap, zap
dje, dje
kxk, kxk
zza, zza
zea, zea
nzm, nzm
za, zha
zia, zia
tzz, tzz
zom, zom
zpq, zpq
czt, czt
gnd, gnd
zu, zul
zun, zun
zyp, zyp
zro, zro
aom, aom
alu, alu
kud, kud
